station,date,max_tmpf,min_tmpf,name,X,Y,GDD,Cumulative_GDD,Station_ID
MN049,2023-09-30,69.08,60.799988,Chamberlain MN-64 Mile Post 42,-94.7229232788,46.91173172,14.939993999999999,2142.720030999999,MN049
MN050,2023-09-30,64.58,60.44002,Pliny MN-65 Mile Post 98,-93.262046814,46.3397598267,12.510009999999994,1677.6901310000003,MN050
MN051,2023-09-30,67.460014,60.61998,Ball Bluff MN-65 Mile Post 145,-93.27368927,46.9783592224,14.039997,1688.4001759999992,MN051
MN052,2023-09-30,68.36001,53.78,Effie MN-1 Mile Post 194,-93.4851837158,47.8403701782,11.070005000000002,2011.5899070000007,MN052
MN053,2023-09-30,70.88,39.38,N. of Upper Red Lake MN-72 Mile Post 40,-94.5540084839,48.2071495056,10.439999999999998,1752.6598250000004,MN053
MN054,2023-09-30,76.99999,55.76001,Tenney US-75 Mile Post 188,-96.494178772,46.0431289673,16.379999999999995,2326.679844,MN054
MN055,2023-09-30,71.78,60.98,Ottertail MN-78 Mile Post 34,-95.6021270752,46.4036598206,16.379999999999995,2421.180101000001,MN055
MN056,2023-09-30,75.74002,40.819977,Gatzke MN-89 Mile Post 96,-95.7311935425,48.4364585876,12.87001,1959.6599890000002,MN056
MN057,2023-09-30,77.18,42.61998,St. Vincent MN-171 Mile Post 2,-97.2016983032,48.9708518982,13.590000000000003,1893.7799280000004,MN057
MN059,2023-09-30,70.16001,58.46001,Mehurin US-212 Mile Post 1,-96.4418,44.9362,14.310010000000005,2605.0500564999993,MN059
MN060,2023-09-30,76.99999,41.71998,East Grand Forks US-2 Mile Post 8,-96.91683197021484,47.88077926635742,13.499994999999998,2452.9499964999995,MN060
MN061,2023-09-30,68.18,57.91998,Cass Lake US-2 Mile Post 131,-94.58698272705078,47.37995147705078,13.049990000000008,2100.7798739999994,MN061
MN062,2023-09-30,72.49999,52.69999,Lake Park US-10 Mile Post 32,-96.1114425659,46.8774490356,12.599989999999998,2162.9698635000004,MN062
MN063,2023-09-30,70.16001,60.98,Verndale US-10 Mile Post 94,-95.0543899536,46.4133415222,15.570004999999995,2487.509907000001,MN063
MN064,2023-09-30,71.78,60.61998,Rice US-10 Mile Post 162,-94.2328414917,45.7665405273,16.19999,2301.3002365,MN064
MN065,2023-09-30,89.24002,62.24002,Canton US-52 Mile Post 2,-91.8849868774,43.5149497986,24.120010000000008,2236.2302034999993,MN065
MN066,2023-09-30,69.08,60.799988,Cotton US-53 Mile Post 41,-92.4876937866,47.2112693787,14.939993999999999,2076.0298784999995,MN066
MN067,2023-09-30,69.61998,45.68,Ash Lake US-53 Mile Post 129,-92.9704666138,48.2942390442,9.809989999999999,1538.3700965000003,MN067
MN068,2023-09-30,74.29999,44.96001,Brooks US-59 Mile Post 331,-96.0010223388672,47.76911163330078,12.149994999999997,1932.3000120000004,MN068
MN069,2023-09-30,82.39999,65.66001,Kellogg US-61 Mile Post 53,-91.9896697998,44.2848205566,24.03,2700.9900265000015,MN069
MN070,2023-09-30,90.68,67.99999,Rochester US-63 Mile Post 32,-92.4822998047,43.9023399353,26.999995,1888.5598719999996,MN070
MN071,2023-09-30,89.960014,58.28,MN-71 Mile Post 43,-95.1199493408,44.0836906433,22.14,2496.4200054999988,MN071
MN072,2023-09-30,68.36001,40.46001,Margie US-71 Mile Post 379,-93.8784790039,48.1346282959,9.180005000000001,1633.0500894999993,MN072
MN073,2023-09-30,92.84002,68.36001,Mankato US-169 Mile Post 52,-94.0339736938,44.1543388367,27.180004999999994,3035.609953499999,MN073
MN074,2023-09-30,91.04002,63.68,St. Peter US-169 Mile Post 69,-93.9631500244,44.3655395508,24.840000000000003,2769.569897000001,MN074
MN075,2023-09-30,90.31998,65.11998,Belle Plaine US-169 Mile Post 86,-93.8426971436,44.5722694397,25.55999,2593.2603015000004,MN075
MN076,2023-09-30,71.78,62.060013,Milaca US-169 Mile Post 200,-93.6640777588,45.8758392334,16.9200065,2380.8599774999984,MN076
MN077,2023-09-30,72.14002,61.69999,Hinckley I-35 Mile Post 181,-92.9481811523,45.9850387573,16.920005000000003,2507.6700775,MN077
MN078,2023-09-30,71.960014,38.48,Roosevelt MN-11 Mile Post 108,-95.05103302,48.7893600464,10.980007,1556.1002754999995,MN078
MN079,2023-09-30,88.16001,66.19999,New Prague MN-19 Mile Post 149,-93.6248168945,44.5436401367,26.099995000000007,2671.3801445,MN079
MN080,2023-09-30,62.24002,58.99999,Thompson Hill I-35 Mile Post 248,-92.2490005493164,46.716529846191406,10.620004999999999,1850.9400699999994,MN080
MN081,2023-09-30,63.49999,61.340023,Blatnik Bridge,-92.09951782226562,46.74691009521485,12.4200065,1824.6600219999993,MN081
MN082,2023-09-30,63.319977,60.08,I-35 and Garfield Avenue,-92.115,46.7718,11.699988500000003,1809.180008500001,MN082
MN084,2023-09-30,67.460014,60.26001,MN-53 and 135 - Midway,-92.52678680419922,47.5157585144043,13.860011999999998,2193.3001175000004,MN084
MN085,2023-09-30,84.74002,66.19999,I-494 and MN-5 I-494 Mile Post 18,-93.45706939697266,44.94374084472656,25.470005,2929.6800140000014,MN085
MN086,2023-09-30,88.88,66.919975,Burnsville I-35W Mile Post 4,-93.28955841064452,44.79764938354492,26.459987499999997,3121.2000445,MN086
